Term,Translation,Context,Reference,Comment,Reference translation
web.forms.page.filling.repeat.table.back.level.button,Eine Ebene zurück,Tooltip when you hover over the arrow button in the top left of the table summary in a repeat group with the 'table' or 'table-labeled' appearance.,,,
web.forms.page.filling.repeat.table.label,Zusammenfassung,The heading just above the summary table in a repeat group with the 'table' or 'table-labeled' appearance.,,,
web.forms.page.filling.select1.minimal.label,Eine Antwort auswählen,The first option in the dropdown in a select_one field with the 'minimal' appearance.,,,
web.forms.page.filling.selectx.minimal.remove.response.button.label,Antwort entfernen,The button label to remove responses in a select_multiple field with the 'minimal' appearance.,,,
web.forms.page.filling.text.error.numbers.appearance.invalid.input,"Tut uns leid, Sie können hier nur Zahlen, Minuszeichen (-), Pluszeichen (+), Kommas (,), Punkte(.) und Leerzeichen ( ) einfügen.","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers"" appearance for showing the numeric keypad on mobile devices.",,,
web.forms.page.filling.text.error.numbers.phone.appearance.invalid.input,"Tut uns leid, Sie können hier nur Telefonnummern, Minuszeichen (-), Pluszeichen (+), Punkte (.), Rauten (#), Sterne (*) und Leerzeichen ( ) einfügen.","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers_phone"" appearance for showing the phone-number keypad on mobile devices.",,,
web.forms.page.filling.text.error.url.appearance.blank,Keine URL angegeben.,"Error message that appears when the user clicks to open the URL on a field with the ""url"" appearance but there is no URL to open.",,,
web.forms.page.filling.text.url.appearance.button,URL öffnen,,,,
web.forms.page.filling.thankyou.not.submitted.text,Danke! Keine Daten wurden abgeschickt.,The message after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,,
web.forms.page.filling.thankyou.not.submitted.title,Daten nicht abgeschickt,The title after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,,
web.forms.page.filling.thankyou.submitted.text,Danke! Ihre Daten wurden erfolgreich abgeschickt.,The message after you submit a form.,,,
web.forms.page.filling.thankyou.submitted.title,Umfrage erfolgreich abgeschickt,The title after you submit a form.,,,
web.forms.page.filling.unknown.field.type.error.not.supported,Felder vom Typ '{0}' können in der Webansicht nicht dargestellt werden, es wird stattdessen ein Textfeld verwendet.,Error message that appears when a field with an unknown field type appears in a web form. {0} gets replaced with the field label and must be included in your translation.,,
web.forms.page.filling.video.select.file.button,Videodatei auswählen,The button label in a 'video' field type.,,,
web.forms.page.forms.header,Eine leere Vorlage zum Ausfüllen auswählen:,The heading text at the top of the 'fill blank form' page.,,,
web.forms.page.forms.title,Leere Vorlage ausfüllen,The page title of the 'fill blank form' page.,,,
web.forms.page.main.download.app.button,App herunterladen,The button label on the main menu page.,,,
web.forms.page.main.edit.saved.form.button,Gespeicherte Vorlage bearbeiten,The button label on the main menu page (only available to logged-in users).,,,
web.forms.page.main.fill.blank.form.button,Leere Vorlage ausfüllen,The button label on the main menu page for logged-in users to get to the 'fill blank form' page.,,,
web.forms.page.main.manage.cases.button,Beobachtungen verwalten,The button label on the main menu page (only available to logged-in users).,,,
web.forms.page.main.sub.title,Sichere und qualitativ hochwertige Datenerfassung,The page subheading on the main menu page (only visible to logged-in users).,,,
web.forms.page.main.title,Hauptmenü,The page title of the main menu page (only visible to logged-in users).,,,
web.forms.page.session.error.resume.failed,Fortsetzen ab der letzten gespeicherten Position nicht möglich: {0},"This is the error message that appears if you try to resume filling out a form from the last saved position, and an unknown error occurs. {0} gets replaced with the path to the last saved position, which includes the field name and the names of any field groups in which the field is located, and must be included in your translation.",,Added in SCTO_v2.70.8.,
web.forms.page.session.error.resume.point.invalid,Die letzte gespeicherte Position konnte keinem Platz in der Umfrage zugeordnet werden: {0},"This is the error message that appears if you try to resume filling out a form from the last saved position, but the last saved position can't be found in the form. {0} gets replaced with the path to the last saved position, which includes the field name and the names of any field groups in which the field is located, and must be included in your translation.",,Added in SCTO_v2.70.8.,
web.forms.page.session.error.resume.point.not.found,"Es liegt leider keine gespeicherte Position für diese Vorlage vor, von der aus fortgefahren werden kann.","This is the error message that appears if you try to resume filling out a form from the last saved position, but there is no restore point found.",,Added in SCTO_v2.70.8.,
web.forms.page.session.error.session.expired,"Diese Seite ist wahrscheinlich abgelaufen, weil Sie längere Zeit inaktiv waren. Bitte aktualisieren Sie diese Seite, um fortzufahren.",This is the message that appears if you try to continue filling out a form but the session has expired.,,Added in SCTO_v2.70.8.,
web.forms.page.session.error.session.lost.message.body.anonymous,"Waren Sie bereits angemeldet? Falls ja, klicken Sie auf {0}, um sich erneut anzumelden. Klicken Sie andernfalls auf {1}, um eine neue Sitzung zu starten.","When a form session is lost, and you are not logged in, this is the second part of the message that appears. {0} gets replaced with the text from the ""Log in"" button in the current language, and must be included in your translation. {1} gets replaced with the text from the ""Start over"" button in the current language and must be included in your translation.",,Added in SCTO_v2.70.8.,
web.forms.page.session.error.session.lost.message.body.logged.in,"Bitte klicken Sie {0}, um eine neue zu starten.","When a form session is lost, and you are logged in, this is the second part of the message that appears. {0} gets replaced with the text from the ""Start over"" button in the current language and must be included in your translation. ",,Added in SCTO_v2.70.8.,
web.forms.page.session.error.session.lost.message.prefix,"Es tut uns leid, aber wir können Ihre Sitzung nicht finden!","When a form session is lost, this is the first part of the message that appears.",,Added in SCTO_v2.70.8.,
web.forms.page.session.error.session.lost.title,Ein Fehler ist aufgetreten,"When a form session is lost, this is the page title for the error page you land on.",,Added in SCTO_v2.70.8.,
web.forms.page.shared.form,Vorlage,Form (singular). This is used in multiple places throughout the UI.,,Added in SCTO_v2.70.14.,
web.forms.page.shared.forms,Vorlagen,Forms (plural). This is used in multiple places throughout the UI.,,Added in SCTO_v2.70.14.,
web.forms.page.shared.form.delete.button,Löschen,The button label for deleting a form on the 'delete saved form' page (only available to logged-in users).,,,
web.forms.page.shared.form.fill.out,Ausfüllen,The button label for filling out a form from any of the main menu sub-pages.,,,
web.forms.page.shared.form.resume.button,Fortsetzen,The button label for resuming a form from the 'edit saved form' page (only available to logged-in users).,,,
web.forms.page.shared.form.title,Titel,,,,
web.forms.page.shared.no.forms.msg,Es sind keine Instanzen vorhanden.,The message when there are no saved forms on any of the main menu pages (only available to logged-in users).,,,
web.forms.page.shared.return.to.main.page.button,Zurück zum Hauptmenü,The button label for returning to the main menu when you are on any of the main menu sub-pages.,,,
web.forms.page.filling.date.months.april,April,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.august,August,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.december,Dezember,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.february,Februar,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.january,Januar,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.july,Juli,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.june,Juni,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.march,März,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.may,Mai,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.november,November,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.october,Oktober,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.september,September,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.error.not.supported.web,"Leider ist bei der Anzeige dieses Felds ein Fehler aufgetreten. Die folgende Funktion wird in der Webansicht nicht unterstützt: {0}. Das aktuelle Feld verwendet möglicherweise ein Fallback-Erscheinungsbild, damit Sie mit dem Ausfüllen dieser Vorlage fortfahren können. Die besten Ergebnisse erzielen Sie, wenn Sie SurveyCTO Collect auf einem Android-Gerät verwenden, um diese Vorlage auszufüllen.","This is the error message that is displayed when the current field contains a feature that is unsupported in web forms, but may be supported in Collect for Android or Collect for iOS. {0} will be replaced with the specific feature name that is unsupported, and must be included in your translation.",,,
web.forms.page.filling.popups.resume.different.caseid.message,"Sie sind dabei, ein neues Formular für die Fall-ID ""{0}"" zu beginnen. Wir haben festgestellt, dass Sie die Vorlage für die Fall-ID ""{1}"" noch nicht fertig ausgefüllt haben. Möchten Sie das Ausfüllen dieser Vorlage fortsetzen oder eine neue beginnen?","Whenever a user visits a form that they had already started filling out, SurveyCTO attempts to resume the partially-filled form from memory. If the partially-filled form has a different case ID than the current URL, a pop-up will appear with this message asking which form they wish to fill out. {0} will be replaced by the case ID from the current URL, and {1} will be replaced by the case ID from memory. Both {0} and {1} must be included in your translation.",,,
web.forms.page.shared.form.last.saved,Zuletzt gespeichert,The label preceding the timestamp on all of the main menu sub-pages (only available to logged-in users).,,,
web.forms.page.shared.form.last.edited,Zuletzt geändert,"On the manage cases page, this indicates the date on which saved forms were last changed.",,Added in SCTO_v2.70.14.,
web.forms.page.shared.form.name,Name,The label preceding the form name on all of the main menu sub-pages for logged-in users.,,,
web.forms.page.shared.form.id,ID,The label preceding the form ID on all of the main menu sub-pages.,,,
web.forms.page.shared.form.version,Version,The label preceding the form version on all the main menu sub-pages.,,,
web.forms.page.main.delete.saved.form.button,Gespeicherte Vorlage löschen,The button label on the main menu page (only available to logged-in users).,,,
web.forms.page.login.fill.web.data.collection.disabled.text,"(Die Datenerfassung über das Webinterface wurde für diesen Server nicht aktiviert, daher müssen Sie zum Erfassen der Daten die mobile App verwenden.)",Warning that appears when you access the login page but an admin has disabled web data collection.,,,
web.forms.page.login.go.back.to.console.link,"Klicken Sie hier, um sich bei der Serverkonsole anzumelden.",Link for returning to the server console.,,,
web.forms.page.login.fill.web.forms.anonymously.button,Füllen Sie Webvorlagen anonym aus,UNUSED: depreciated in SCTO_v2.70.9,,,
web.forms.page.login.or.text,Oder,UNUSED: depreciated in SCTO_v2.70.9,,,
web.forms.page.login.servername.input,Servername,The label for the server name input on the login page.,,,
web.forms.page.login.username.input,E-Mail-Adresse oder Benutzername:,The label for the username input on the login page.,,,
web.forms.page.login.username.placeholder,Ihre E-Mail-Adresse oder Ihr Benutzername,This is the placeholder for the username input on the login page.,,,
web.forms.page.login.password.input,Passwort:,The label for the password input on the login page.,,,
web.forms.page.login.password.placeholder,Ihr Passwort,This is the placeholder for the password input on the login page.,,,
web.forms.page.login.back.button,Zurück,"The button label for changing the username for login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,,
web.forms.page.login.next.button,Weiter,"The button label for proceeding with the login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,,
web.forms.page.login.login.button,Anmelden,The button label for logging in.,,,
web.forms.page.login.terms.conditions.link,Geschäftsbedingungen,The label for the terms and conditions link.,,,
web.forms.page.login.brought.to.you.by.text,Präsentiert von,Dobility branding. Appears only on the login page.,,,
web.forms.page.login.no.cookies.error,"Es sieht so aus, als hätten Sie die „Cookie“-Unterstützung in den Datenschutzeinstellungen Ihres Internetbrowsers deaktiviert, SurveyCTO benötigt jedoch Cookies, um zu funktionieren. Daher ist es unwahrscheinlich, dass Sie sich anmelden können, bis Sie Cookies aktivieren und diese Seite aktualisieren.",Error message that appears when you try to log in with cookies disabled.,,,
web.forms.page.login.authentication.options.error,"Es tut uns leid, aber wir konnten keine Authentifizierungsoptionen für '{0}' identifizieren.",Error message that appears when the server cannot identify authentication options for a username. {0} gets replaced with the attempted username and must be included in your translation.,,,
web.forms.page.login.headline,Anmelden bei,The headline above the login section on the login page. This text is immediately followed by the server name.,,Added in SCTO_v2.70.9.,
web.forms.page.login.existing.account.text,Haben Sie bereits ein Benutzerkonto auf diesem Server?,This is the hint text that appears above the login section on the login page.,,Added in SCTO_v2.70.9.,
web.forms.page.login.view.public.forms.text,"Möchten Sie Vorlagen ausfüllen, ohne sich anzumelden?",This is the hint text that appears on the login page above the button to view public forms without logging in.,,Added in SCTO_v2.70.9.,
web.forms.page.login.view.public.forms.button,Öffentliche Vorlagen anzeigen,This is the button label on the login page to view public forms without logging in.,,Added in SCTO_v2.70.9.,
web.forms.page.login.private.form.title,Diese Vorlage ist privat.,This is the title of the message box that appears when you follow a direct link to a private web form without being logged in.,,Added in SCTO_v2.70.9.,
web.forms.page.login.private.form.body.line1,"Auf die Vorlage, das Sie ausfüllen möchten ({0}), kann nur mit einem Konto bei {1} zugegriffen werden.",This is the first part of the message that appears when you follow a direct link to a private web form without being logged in. {0} gets replaced with the form ID. {1} gets replaced with the server URL. Both must be included in your translation.,,Added in SCTO_v2.70.9.,
web.forms.page.login.private.form.body.line2,"Wenn Sie kein Benutzerkonto auf diesem Server haben, wenden Sie sich bitte an die Person, die Ihnen diesen Link gegeben hat, und bitten Sie sie um einen Benutzernamen und ein Passwort. Alternativ können Sie sie bitten, {0} für dieses Formular zuzulassen.","This is the second part of the message that appears when you follow a direct link to a private web form without being logged in. {0} gets replaced with a link to a documentation article on allowing anonymous access, and must be included in your translation.",,Added in SCTO_v2.70.9.,
web.forms.page.login.private.form.allow.anonymous.link,Anonymen Zugang erlauben,This is the label for the link in the previous term (web.forms.page.login.private.form.body.line2).,,Added in SCTO_v2.70.9.,
web.forms.page.login.download.app.text,Suchen Sie nach der Collect-App?,This is the hint text that appears on the login page above the links to download the Collect app on the Apple App Store and Google Play Store.,,Added in SCTO_v2.70.9.,
web.forms.page.shared.blank.forms,Leere Vorlagen,"On the manage cases page, this is the list of forms that have not yet been filled out.",,Added in SCTO_v2.70.14.,
web.forms.page.shared.saved.forms,Gespeicherte Vorlagen,"On the manage cases page, this is the list of forms which have been partially filled out and saved.",,Added in SCTO_v2.70.14.,
web.forms.page.manage.cases.current.enumerator,Aktueller Interviewer,Current enumerator label on cases management.,,Added in SCTO_v2.72.,
web.forms.page.manage.cases.change.enumerator,Interviewer wechseln,Change enumerator label on cases management.,,Added in SCTO_v2.72.,
web.forms.page.manage.cases.no.enumerator.selected,Kein Interviewer ausgewählt,Text if no enumerator is selected.,,Added in SCTO_v2.72.,
web.forms.page.manage.cases.enumerator.dataset.label,Interviewer-Datensatz ID: {0},Label for enumerator dataset id.,,Added in SCTO_v2.72.,
web.forms.page.manage.cases.not.linked.enumerators,"Interviewer-Datensatz nicht verfügbar. Bitte stellen Sie sicher, dass Ihr Datensatz mit allen Beobachtungen mit Ihrem Interviewer-Datensatz verknüpft ist. \n\nDatensatz-ID: {0} {1} \nAktueller Benutzer: {2}",Not linked enumerators dataset warning.,,Added in SCTO_v2.72.,
web.forms.page.manage.cases.warning,Warnung,A warning text.,,Added in SCTO_v2.72.,
web.forms.page.manage.cases.title,Beobachtungen verwalten,The page title on the manage cases page.,,Added in SCTO_v2.70.14.,
web.forms.page.manage.cases.filter.description.text,Nur Beobachtungen mit,This is the label used to filter the case list to only show cases that contain a specific bit of text.,,Added in SCTO_v2.70.14.,
web.forms.page.manage.cases.filter.button,Filter,This is the button used to filter the list of cases on the manage cases page.,,Added in SCTO_v2.70.14.,
web.forms.page.manage.cases.no.cases,Keine Beobachtungen gefunden.,This is the text that appears when there are no cases at all to show.,,Added in SCTO_v2.70.14.,
web.forms.page.manage.cases.no.filter.results,Mit diesem Filter wurden keine Beobachtungen gefunden.,This is the text that appears when the user enters a search query that produces no results.,,Added in SCTO_v2.70.14.,
web.forms.page.manage.cases.form.title,Titel der Vorlage,"On the manage cases page, this is the label in front of the form name/form title.",,Added in SCTO_v2.70.14.,
web.forms.page.filling.enumerator.field.confirmation.msg,Sind das Sie?,The title of confirm current enumerator screen.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.confirmation.yes,Ja,The label of confirm current enumerator screen 'Yes' button.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.confirmation.no,Nein,The label of confirm current enumerator screen 'No' button.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.name,Name,The label of 'Enumerator name' input field.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.id,ID,The label of 'Enumerator ID' input field.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.add.title,Neuen Interviewer hinzufügen,The title of Add enumerator popup.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.cancel,Abbrechen,The label of the cancel button.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.submit,Abschicken,The label of the submit button.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.manager.code.title,Manager-Code erforlderlich,The title of the manager code prompt screen.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.manager.code.msg1,"Bitte geben Sie den Manager-Override-Code ein, der zum Hinzufügen eines neuen Interviewers erforderlich ist.",The instruction displayed in manager code prompt screen. Appears when adding a new enumerator and add-new-code is provided.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.manager.code.msg2,"Bitte geben Sie den Manager-Override-Code ein, der erforderlich ist, um einen Interviewer auszuwählen, der nicht mit Ihrem Login verknüpft ist.",The instruction displayed in manager code prompt screen. Appears when viewing other enumerators and other-user-code is provided.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.manager.code.incorrect,Falsch. Bitte versuchen Sie es erneut.,The error message displayed if manager code is incorrect.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.add.new,Neuen Interviewer hinzufügen,The label of 'Add new enumerator' button available in all modes.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.show.others,Andere Interviewer anzeigen,The label of 'Show other enumerators' button available in list mode.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.scan.code,Code scannen,The label of 'Scan code' button available in scan mode.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.scan.unsupported,Nicht unterstütztes Gerät.,The title of the error displayed when a device doesn't support barcode scanning.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.scan.unsupported.msg,"Der Scanmodus funktioniert nicht in einem Webbrowser, funktioniert aber in der Mobilapp SurveyCTO Collect (auf Android-Geräten muss allerdings die App „Barcode Scanner+“ installiert sein, um die Scanfunktion zu aktivieren).",The error displayed when a device doesn't support barcode scanning.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.list.select,Aus einer Liste auswählen,The label of 'Select from a list' button displayed when a device doesn't support barcode scanning.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.list.not.found.msg1,"Es gibt leider keine Interviewer, die Sie auswählen könnten.",The is the text displayed when there is no enumerator dataset attached.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.list.not.found.msg2,Es gibt leider keine mit Ihrem Login verknüpften Interviewer.,The is the text displayed when there are no enumerators associated with an authorized username.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.entry.id,ID eingeben,The label of 'Enter ID' button. Appears in entry mode.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.entry.not.found.title,ID nicht gefunden,The title of the error displayed when an enumerator ID doesn't exist in entry mode.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.entry.not.found.msg1,Diese ID existiert leider nicht. Möchten Sie einen neuen Interviewer hinzufügen?,The error message displayed when an enumerator ID doesn't exist in entry mode.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.entry.not.found.msg2,"Diese ID existiert leider nicht. Bitte prüfen Sie, ob Sie sie korrekt eingegeben haben und versuchen Sie es erneut.",The error message displayed when an enumerator ID doesn't exist in entry mode.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.entry.error.title,Fehler,The title of the error displayed when adding a new enumerator.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.entry.error.msg1,"Es tut uns leid, dieser Interviewer ist bereits vorhanden. Bitte geben Sie einen eindeutigen Namen und eine eindeutige ID ein.",The error message displayed when adding a new enumerator.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.entry.error.msg2,Bitte einen Namen eingeben,The error message displayed when the enumerator name field is blank.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.entry.error.msg3,Bitte eine ID eingeben,The error message displayed when the enumerator ID field is blank.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.generate.id,"Klicken, um neue ID zu generieren",The label of the button for generating a new ID. Appears when adding a new enumerator.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.id.title,Interviewer-ID,The title of 'Enumerator ID' prompt.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.id.msg,Bitte geben Sie Ihre Interviewer-ID ein.,The instruction displayed in 'Enumerator ID' prompt.,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.entry.warning.title,Warnung,,,Added in SCTO_v2.72.,
web.forms.page.filling.enumerator.field.entry.warning.msg,Die von Ihnen eingegebene ID entspricht nicht dem Standard des ID-Formats. Möchten Sie diese ID wirklich verwenden?,The warning message displayed when the enumerator ID doesn't match the standard ID format,,Added in SCTO_v2.72.,
